codepoint,name
E0B3,LATIN CAPITAL LETTER E WITH MACRON AND TILDE
E0B4,LATIN CAPITAL LETTER E WITH MACRON AND TILDE AND ACUTE
E0B5,LATIN CAPITAL LETTER E WITH MACRON AND TILDE AND DOT BELOW
E0B6,LATIN CAPITAL LETTER E WITH MACRON AND TILDE AND OGONEK
E0B7,LATIN CAPITAL LETTER E WITH MACRON AND BREVE
E0B8,LATIN CAPITAL LETTER E WITH MACRON AND BREVE AND ACUTE ABOVE
E0B9,LATIN CAPITAL LETTER E WITH MACRON AND CARON
E0BA,LATIN CAPITAL LETTER E WITH MACRON AND INVERTED BREVE
E0BB,LATIN CAPITAL LETTER E WITH MACRON AND DOT BELOW
E0BC,LATIN CAPITAL LETTER E WITH MACRON AND OGONEK
E0BD,LATIN CAPITAL LETTER E WITH MACRON AND BREVE BELOW
E0BE,LATIN CAPITAL LETTER E WITH MACRON AND RIGHT HALF RING BELOW
E0BF,LATIN CAPITAL LETTER E WITH MACRON AND INVERTED OGONEK
E0C0,LATIN CAPITAL LETTER E WITH MACRON AND RIGHT ARROWHEAD
E0C1,LATIN CAPITAL LETTER E WITH BREVE AND GRAVE
E0C2,LATIN CAPITAL LETTER E WITH BREVE AND GRAVE AND DOT BELOW
E0C3,LATIN CAPITAL LETTER E WITH BREVE AND ACUTE
E0C4,LATIN CAPITAL LETTER E WITH BREVE AND ACUTE AND DOT BELOW
E0C5,LATIN CAPITAL LETTER E WITH BREVE AND MACRON
E0C6,LATIN CAPITAL LETTER E WITH BREVE AND DOT BELOW
E0C7,LATIN CAPITAL LETTER E WITH BREVE AND OGONEK
E0C8,LATIN CAPITAL LETTER E WITH DOT AND ACUTE
E0C9,LATIN CAPITAL LETTER E WITH DOT AND TILDE
E0CA,LATIN CAPITAL LETTER E WITH DOT ABOVE AND ACUTE TONE MARK
E0CB,LATIN CAPITAL LETTER E WITH DIAERESIS AND ACUTE ABOVE
E0CC,LATIN CAPITAL LETTER E WITH DIAERESIS AND TILDE ABOVE
E0CD,LATIN CAPITAL LETTER E WITH DIAERESIS AND MACRON
E0CE,LATIN CAPITAL LETTER E WITH DIAERESIS AND OGONEK
E0CF,LATIN CAPITAL LETTER E WITH RING ABOVE
E0D0,LATIN CAPITAL LETTER E WITH RING ABOVE AND MACRON
